"text","label","notes"
"I don’t think there’s going to be any less expensive RTBs. I think many people are unaware they even exist yet because the tournament is over a year away. If you KNOW you want to go to that specific game and you’re visiting during that time period it may be worth just getting the RTB. The only other option would maybe be the lottery, which won’t guarantee you can get tickets to that game, and the second hand market. I’ll also add that in principle I am against the RTB because it’s clearly a money grab. Additionally if you try to sell your RTB on the marketplace you have to pay fifa another 5% of the sale. But if you’re wanting to guarantee the experience, I guess that’s the game we play. $250 doesn’t sound horrible. Also keep in mind that when you’re converting to crypto it’s one a 1:1. I’d say that $250 is probably more like $275-$295 USD and it’s $250 in cryptocurrency. And the crypto “bank” takes a % fee from your conversion so it will likely be $300 USD. Probably more info than you wanted but when I bought our RTBs I had to do the transfer twice because I didn’t transfer enough the first time.","Prediction",""
"""brutal""? Really? They're not that bad! And nah, that would be disadvantageous. Most Europeans won't stay up until the early hours of the morning to watch games, especially on weekdays. Some will, but the majority who would've watched an evening game won't. Being in Asia though, I'd love it if they did. Would actually make it easier for me to watch!","Prediction",""
"They'll take it from the men? A tax 😃🤣","Reaction/Opinion",""
"Kansas City summers, while obviously not as bad as Death Vallley’s, are surprisingly pretty fucking hot and humid. Mid/late July is typically the hottest time of year so with games in Late June through mid July, it will be toasty lol. Also hottest time of day is 2 PM-7 PM and I’m pretty sure KC will be an afternoon kickoff window.","Prediction",""
"Thanks. Wondering whether to buy World Cup 2026 RTB for the last 32 game in New York, M77 (I'll be on holiday there from the UK during this time) On marketplace its $250. Or just wait til later in the year to see what happens, but will anything really change. Decisions decisions, if the payment method was more straight forward id just buy it now, probably with your 'i may lose this money' attitude.","Question",""
"You’ll see bad goalkeeping/bad defending in lots of compilations. In the moment you often focus on what the attacker has done for the goal.","Reaction/Opinion",""
"I’m sure we’ll read that they have met their target, because we all know what happens to journalists with a more critical view in that country","Reaction/Opinion",""
"These are the 2 games i desperatley want tickets for also buddy, i'll be on holiday in New York during this time. I see them on Fifa Collect, last 32 game $250 & last 16 game $350. But the process to buy is too complicated, wouldve much preferred just the usual credit card payment option. Any advice or any other options for getting tickets that your aware of?","Question",""
"After the last one I’ll definitely be watching.","Reaction/Opinion",""
"I'm sure it will eventually hit that mark. I'm sure if before COVID someone suggested a women's world cup would hit half a billion the world would scoff. Growing the women's game is slightly easier than the men's as there are a lot of countries where just a change in culture would give better growth and opportunity. If India or China really get into the game there's no telling the growth. The women's IPL franchises were sold for over half a billion dollars with the top player in their talent draft getting $400k. Not equal to the guys but that's ten times what a top English female footballer is paid. Also the IPL is watched by 670million Indians. That's double the USAs population and is the equivalent to all of Europe but minus the Russians or the German populations","Prediction","Ambigious case: half of prediction and Analysis/Explanation"
"Yeah money is money. But yeah if the US couldn’t do 2027 because it was too close to 2026 then yeah nobody really will. And we promised billions for 2027.","Analysis/Explanation",""
"It’s possible by 2031 as it expands to 48 teams and is in the US. That said Qatar did $7.5BB and 2026 will go well over $10BB due to expanded format. The 10 to 12 fold difference won’t close anytime soon if ever.","Prediction",""
"Are the club world cup match times now fixed? More or less?","Question",""
"The only way this hits $1 billion is if Alisha Lehmann from Juventus plays, all men across the world will watch","Reaction/Opinion","if word is used and doesn't pertain to the sport but rather a remark on the audience"
"FIFA targets $1 billion revenue from Women's World Cup","Prediction",""
"The United States will host the Club World Cup in one month.","Analysis/Explanation",""
"nah it will be either spain or brazil","Prediction",""
"They only had 5 spots because for decades most African teams struggled to get pass the group stage at World Cups. Teams like Italy not qualifying will no longer be a thing from now on when other weaker teams are basically given a free ride.","Prediction",""
"Well, that's because until now they had only 5 spots. If Norway hasn't qualified until now isn't because they are not competitive enough but because there're a lot of teams with similar level in Europe. Even if it's true there're really small teams (Andorra, Liechtenstein, Gibraltar...), none of the rest is totally sure they'll qualify, even the biggest ones (Spain, France, Germany, Netherlands, Italy, England, Belgium or Portugal) could have a disastrous qualification such as Italy.","Analysis/Explanation",""
"Olympic sports are notoriously underfunded in many countries and athletes often have to find their own funding. A tournament that only takes place once every 4 years isn’t going to bring big investments. Expanding it to 48 teams also makes it a lot harder for countries to host, and hosting actually would be a great way for the sport to gain more popularity locally. Now it will be limited to a handful of countries hosting. Grassroots development is the only way for the sport to grow but that’s easier said than done in countries that don’t have big budgets. There are only a handful of professional leagues worldwide and none of them are profitable as a whole (some individual teams are). The men’s WC only expanded to 32 teams in 1998 when it already was the most popular sport on the planet for decades. And them expanding to 48 is ridiculous as well. It would be better for the WWC to grow at its own pace and to have a smaller but more competitive WWC.","Analysis/Explanation",""
"Don't really agree, much like a sport being an Olympic sport brings funding, a world cup becoming a possibility at all will bring funding to the game, what her it's substantial or not depends.","Prediction",""
"My Freind When He Finds Out That Uruguay Has More World Cups Than Spain...","Reaction/Opinion",""
"That’s wishful thinking. Unless FIFA actively starts investing in infrastructure it is unlikely non-wealthy countries will invest a lot in a sport that isn’t profitable.","Reaction/Opinion",""
"My prediction regarding who are the favorites to win the next year WC and how far they can go in the tournament!!","Prediction",""
"Is this a scam? Aren't only hospitality tickets released as of now?","Question",""
"Yeah but to be honest it's going to grow the women's game a lot. So much of the world test women footballers like second class citizens so with world cup within reach to a bunch of places that it was previously thought impossible it's going to mean they can actually invest in infrastructure to bring players through. This will likely turn some female players from amateur to semi-professional to professional.","Prediction",""
"It’s just a question so relax Nothing stays forever, it’s either done big teams would fall off or more teams will be added to the table","Prediction",""
"I’m just saying what if it was possible Also I’m sure the usual suspects aren’t going to win , that will change more quickly then it’s beginning to change now but more slowly","Prediction",""
"It's just not possible so kind of a pointless argument, everyone will just say any of the usual suspects.","Reaction/Opinion",""
"Feels like every world cup people talk about how much better our team is than it was but also every world cup we don't do anything of note. Will be happy to get out of group.","Reaction/Opinion",""
"I like the initiative of trying to convince FIFA to do or consider anything. But I think this is just one of those things that’ll work itself out 🫶🏾","Prediction",""
"The what now???? Depending on where you are it can be “hot” but they’ll be fine. Summer takes different forms across America, in Atlanta and Houston around 3pm you might find people saying “it’s hot as hell” but that type of heat at 3 varies in Seattle. And no one overreacts here. Hell, it’s 96 fucking degrees outside and humid. It’s hot. I think the players will be fine 🤷🏾‍♀️.","Reaction/Opinion",""
"There were women at the qatar world cup, im sure there will be even more people in the us WC","Prediction",""
"Nothing's been confirmed yet. The problem isn't really the knockout matches but the Group Stages where it gets up to 4 a day. They could possibly do a 2 hour turn around rather than 2.5 or 3 hours, have matches at 1/3/5/7. It's all to be determined, we will probably get answers around the draw in December.","Prediction",""
"I can’t see kick-offs later as 9 ET. Is even 3, 6, 9 pm confirmed? Could be easily something as 11, 2-3, 6, 8 as well. You just completely loose the European market with games after 6, which is one of the major ones for football. During the WC in Brazil the semis started at 5pm, I‘d think this will be similar in the US as well.","Question","Ambiguous case: Question followed by a minor prediction"
"Metlife in June/July can be pretty brutal. Stadium with zero cover too. Will absolutely be hot. And that’s one of the “northern” stadiums.","Prediction",""
"I messaged them and they said they will fix it","Analysis/Explanation",""
"I hate to say it as an Argentinian, but Brazil is always Brazil. They can't ever be discounted. Even though they've been bad lately, they have the talent to be a big competitor. With a good coach like Ancelotti, they will likely be a big threat. In no particular order, I think the tops likely teams to win will be Spain, Argentina (anulo mufa), Germany, France, and Brazil.","Prediction",""
"Depends on how long the period is you referring to. I am confident within the next 200 years they will win it at least once maybe more.","Prediction",""
"But if it was every year it could see a rise again... We'll never know","Prediction",""
"Ronaldo nazario's all goals in the fifa worldcup for brazil","Analysis/Explanation",""
"Brazil are not the footballing powerhouse they once were, no way they win in 2026. Only way neymar wins one is with his childish diving","Prediction",""
"If the World Cup was every year like the champions league who do you think will win it at least once or multiple times? Let’s say it was possible for the World Cup to played every year Who do you think could win it or win it multiple times Honestly this is interesting because some players might perform better and some unexpected teams might win it once","Question",""
"They just need something,that extra spice that will take them to the finals.","Reaction/Opinion",""
"It makes no football sense, so many teams will lose 5-0. It also makes no commercial sense, because half the matched will be with small teams.","Reaction/Opinion",""
"Well that's the Colombia Football Team experience. They'll win a bunch of meaningless games to get people hyped and then vastly underperform when they have to actually deliver. It's a tale as old as time.","Reaction/Opinion",""
"They will be lucky if they get out of the group stage with how they have been playing","Reaction/Opinion",""
"I think Argentina can make another deep run in 2026 because their midfield still controls tempo well, but the age of their defense makes me nervous against faster teams.","Prediction",""
"2026 World Cup- how to get tickets? Any advice? :)","Question",""
"How hard is it to get Brazil match tickets in the First Come First Served phase?","Question",""
"Can someone explain the ticket bundles going on sale now? I signed up for FIFA emails and they are now selling ticket bundles. I don't understand how it works and what you get with your purchase. Can someone please explain?","Question",""
"Are the ticket packages worth buying? How are you getting your tickets?","Question",""
